Count,Name,Edition,Card Number,Foil,Price
1,Cavalry Pegasus,Theros,2,,$0.09 
1,Chained to the Rocks,Theros,4,,$0.50 
1,Glare of Heresy,Theros,15,,$0.07 
1,Gods Willing,Theros,16,,$0.11 
2,Observant Alseid,Theros,24,,$0.07 
2,Coastline Chimera,Theros,44,,$0.07 
1,Griptide,Theros,50,,$0.07 
2,Horizon Scholar,Theros,51,,$0.13 
1,Ordeal of Thassa,Theros,58,,$0.12 
1,Sea God's Revenge,Theros,61,,$0.06 
1,Voyage's End,Theros,73,,$0.07 
2,Blood-Toll Harpy,Theros,79,,$0.06 
2,Boon of Erebos,Theros,80,,$0.08 
2,Disciple of Phenax,Theros,84,,$0.07 
2,Gray Merchant of Asphodel,Theros,89,,$0.45 
2,Insatiable Harpy,Theros,92,,$0.06 
1,Lash of the Whip,Theros,94,,$0.05 
1,Loathsome Catoblepas,Theros,95,,$0.05 
1,March of the Returned,Theros,96,,$0.05 
2,Mogis's Marauder,Theros,97,,$0.11 
1,Pharika's Cure,Theros,100,,$0.08 
1,Read the Bones,Theros,101,,$0.29 
2,Rescue from the Underworld,Theros,102,,$0.16 
2,Returned Phalanx,Theros,104,,$0.08 
2,Scourgemark,Theros,105,,$0.07 
2,Sip of Hemlock,Theros,106,,$0.08 
1,Whip of Erebos,Theros,110,,$6.37 
1,Borderland Minotaur,Theros,114,,$0.05 
1,Deathbellow Raider,Theros,117,,$0.08 
1,Rage of Purphoros,Theros,137,,$0.07 
1,Satyr Rambler,Theros,139,,$0.06 
1,Agent of Horizons,Theros,148,,$0.05 
1,Fade into Antiquity,Theros,157,,$0.06 
1,Leafcrown Dryad,Theros,161,,$0.08 
1,Satyr Hedonist,Theros,174,,$0.08 
1,Staunch-Hearted Warrior,Theros,179,,$0.05 
1,Warriors' Lesson,Theros,184,,$0.12 
1,Pharika's Mender,Theros,197,,$0.10 
1,Shipwreck Singer,Theros,203,,$0.09 
1,Akroan Horse,Theros,210,,$0.25 
1,Flamecast Wheel,Theros,215,,$0.06 
1,Witches' Eye,Theros,222,,$0.10 
2,Charging Griffin,Magic 2014 Core Set,13,,$0.06 
3,Master of Diversion,Magic 2014 Core Set,24,,$0.08 
1,Seraph of the Sword,Magic 2014 Core Set,31,,$0.45 
3,Show of Valor,Magic 2014 Core Set,33,,$0.13 
1,Siege Mastodon,Magic 2014 Core Set,34,,$0.06 
1,Solemn Offering,Magic 2014 Core Set,36,,$0.07 
2,Stonehorn Chanter,Magic 2014 Core Set,39,,$0.05 
1,Wall of Swords,Magic 2014 Core Set,41,,$0.10 
3,Air Servant,Magic 2014 Core Set,42,,$0.05 
2,Archaeomancer,Magic 2014 Core Set,43,,$0.23 
1,Cancel,Magic 2014 Core Set,45,,$0.08 
5,Claustrophobia,Magic 2014 Core Set,46,,$0.07 
1,Clone,Magic 2014 Core Set,47,,$0.25 
4,Coral Merfolk,Magic 2014 Core Set,49,,$0.05 
2,Disperse,Magic 2014 Core Set,51,,$0.06 
3,Divination,Magic 2014 Core Set,52,,$0.07 
1,Essence Scatter,Magic 2014 Core Set,55,,$0.08 
3,Frost Breath,Magic 2014 Core Set,56,,$0.05 
3,Glimpse the Future,Magic 2014 Core Set,58,,$0.08 
2,Illusionary Armor,Magic 2014 Core Set,59,,$0.06 
2,Messenger Drake,Magic 2014 Core Set,63,,$0.07 
1,Phantom Warrior,Magic 2014 Core Set,67,,$0.10 
3,Scroll Thief,Magic 2014 Core Set,69,,$0.08 
3,Seacoast Drake,Magic 2014 Core Set,70,,$0.10 
1,Time Ebb,Magic 2014 Core Set,74,,$0.07 
3,Warden of Evos Isle,Magic 2014 Core Set,79,,$0.12 
1,Water Servant,Magic 2014 Core Set,80,,$0.06 
1,Artificer's Hex,Magic 2014 Core Set,85,,$0.13 
1,Blood Bairn,Magic 2014 Core Set,87,,$0.08 
2,Child of Night,Magic 2014 Core Set,89,,$0.06 
1,Festering Newt,Magic 2014 Core Set,98,,$0.08 
1,Gnawing Zombie,Magic 2014 Core Set,99,,$0.14 
1,Minotaur Abomination,Magic 2014 Core Set,107,,$0.07 
2,Undead Minotaur,Magic 2014 Core Set,119,,$0.06 
1,Battle Sliver,Magic 2014 Core Set,128,,$0.24 
2,Canyon Minotaur,Magic 2014 Core Set,131,,$0.05 
1,Chandra's Phoenix,Magic 2014 Core Set,134,,$0.22 
1,Lava Axe,Magic 2014 Core Set,143,,$0.05 
1,Regathan Firecat,Magic 2014 Core Set,150,,$0.08 
